"FullName","Name","Length","CreationTime","LastWriteTime","LastAccessTime","Attributes","Owner"
"D:\DoganHub\DBA\slr_dashboard_specification.md","slr_dashboard_specification.md","4121","7/5/2025 3:32:25 PM","7/5/2025 3:32:33 PM","7/9/2025 11:17:38 PM","Archive","AHMETDOGAN\asmel"
"D:\DoganHub\DBA\slr_dashboard.py","slr_dashboard.py","4911","7/6/2025 12:14:24 AM","7/6/2025 12:14:41 AM","7/9/2025 11:17:38 PM","Archive","AHMETDOGAN\asmel"
"D:\DoganHub\DBA\SuperSLR.txt","SuperSLR.txt","0","6/29/2025 7:57:22 PM","6/29/2025 7:57:22 PM","7/9/2025 11:17:38 PM","Archive","AHMETDOGAN\asmel"
"D:\DoganHub\DBA\.idea\inspectionProfiles","inspectionProfiles",,"7/2/2025 7:47:38 PM","7/2/2025 7:47:38 PM","7/9/2025 11:55:30 PM","Directory","AHMETDOGAN\asmel"
"D:\DoganHub\DBA\.idea\bts.xml","bts.xml","261","7/2/2025 7:47:39 PM","7/2/2025 7:47:39 PM","7/9/2025 11:17:38 PM","Archive","AHMETDOGAN\asmel"
"D:\DoganHub\DBA\.idea\csv-editor.xml","csv-editor.xml","2216","7/2/2025 10:32:24 PM","7/2/2025 10:32:26 PM","7/9/2025 11:17:38 PM","Archive","AHMETDOGAN\asmel"
"D:\DoganHub\DBA\.idea\IOT_Hub.iml","IOT_Hub.iml","683","7/2/2025 7:47:37 PM","7/2/2025 10:28:56 PM","7/9/2025 11:17:38 PM","Archive","AHMETDOGAN\asmel"
"D:\DoganHub\DBA\.idea\misc.xml","misc.xml","304","7/2/2025 7:47:38 PM","7/2/2025 10:30:08 PM","7/9/2025 11:17:38 PM","Archive","AHMETDOGAN\asmel"
"D:\DoganHub\DBA\.idea\modules.xml","modules.xml","273","7/2/2025 7:47:37 PM","7/2/2025 7:47:37 PM","7/9/2025 11:17:38 PM","Archive","AHMETDOGAN\asmel"
"D:\DoganHub\DBA\.idea\vcs.xml","vcs.xml","188","7/2/2025 7:47:39 PM","7/2/2025 7:47:39 PM","7/9/2025 11:17:38 PM","Archive","AHMETDOGAN\asmel"
"D:\DoganHub\DBA\.idea\workspace.xml","workspace.xml","7138","7/2/2025 7:41:52 PM","7/2/2025 10:29:39 PM","7/9/2025 11:17:38 PM","Archive","AHMETDOGAN\asmel"
"D:\DoganHub\DBA\.idea\inspectionProfiles\profiles_settings.xml","profiles_settings.xml","174","7/2/2025 7:47:38 PM","7/2/2025 7:47:38 PM","7/9/2025 11:17:38 PM","Archive","AHMETDOGAN\asmel"
"D:\DoganHub\DBA\.venv\etc","etc",,"7/5/2025 6:24:02 PM","7/5/2025 6:24:02 PM","7/9/2025 11:55:30 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Include","Include",,"7/5/2025 6:22:24 PM","7/5/2025 6:22:24 PM","7/9/2025 11:55:30 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib","Lib",,"7/5/2025 6:22:24 PM","7/5/2025 6:22:24 PM","7/9/2025 11:55:30 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Scripts","Scripts",,"7/5/2025 6:22:24 PM","7/5/2025 6:25:03 PM","7/9/2025 11:55:44 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\share","share",,"7/5/2025 6:24:02 PM","7/5/2025 6:24:02 PM","7/9/2025 11:55:44 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\.gitignore",".gitignore","71","7/5/2025 6:22:24 PM","7/5/2025 6:22:24 PM","7/9/2025 11:17:38 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\pyvenv.cfg","pyvenv.cfg","177","7/5/2025 6:22:24 PM","7/5/2025 6:22:24 PM","7/9/2025 11:17:38 PM","Archive","BUILTIN\Administrators"
