"FullName","Name","Length","CreationTime","LastWriteTime","LastAccessTime","Attributes","Owner"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl\worksheet\__pycache__\related.cpython-313.pyc","related.cpython-313.pyc","950","7/5/2025 6:48:42 PM","7/5/2025 6:48:42 PM","7/9/2025 11:19:43 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl\worksheet\__pycache__\scenario.cpython-313.pyc","scenario.cpython-313.pyc","3363","7/5/2025 6:48:42 PM","7/5/2025 6:48:42 PM","7/9/2025 11:19:43 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl\worksheet\__pycache__\smart_tag.cpython-313.pyc","smart_tag.cpython-313.pyc","2502","7/5/2025 6:48:42 PM","7/5/2025 6:48:42 PM","7/9/2025 11:19:43 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl\worksheet\__pycache__\table.cpython-313.pyc","table.cpython-313.pyc","14183","7/5/2025 6:48:42 PM","7/5/2025 6:48:42 PM","7/9/2025 11:19:43 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl\worksheet\__pycache__\views.cpython-313.pyc","views.cpython-313.pyc","5024","7/5/2025 6:48:42 PM","7/5/2025 6:48:42 PM","7/9/2025 11:19:43 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl\worksheet\__pycache__\worksheet.cpython-313.pyc","worksheet.cpython-313.pyc","36199","7/5/2025 6:48:42 PM","7/5/2025 6:48:42 PM","7/9/2025 11:19:43 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl\writer\__pycache__","__pycache__",,"7/5/2025 6:48:42 PM","7/5/2025 6:48:43 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl\writer\__init__.py","__init__.py","35","7/5/2025 6:48:38 PM","7/5/2025 6:48:38 PM","7/9/2025 11:19:43 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl\writer\excel.py","excel.py","9572","7/5/2025 6:48:38 PM","7/5/2025 6:48:38 PM","7/9/2025 11:19:43 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl\writer\theme.py","theme.py","10320","7/5/2025 6:48:38 PM","7/5/2025 6:48:38 PM","7/9/2025 11:19:43 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl\writer\__pycache__\__init__.cpython-313.pyc","__init__.cpython-313.pyc","161","7/5/2025 6:48:42 PM","7/5/2025 6:48:42 PM","7/9/2025 11:19:44 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl\writer\__pycache__\excel.cpython-313.pyc","excel.cpython-313.pyc","16593","7/5/2025 6:48:43 PM","7/5/2025 6:48:43 PM","7/9/2025 11:19:44 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl\writer\__pycache__\theme.cpython-313.pyc","theme.cpython-313.pyc","10530","7/5/2025 6:48:43 PM","7/5/2025 6:48:43 PM","7/9/2025 11:19:44 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl\xml\__pycache__","__pycache__",,"7/5/2025 6:48:43 PM","7/5/2025 6:48:43 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl\xml\__init__.py","__init__.py","1016","7/5/2025 6:48:38 PM","7/5/2025 6:48:38 PM","7/9/2025 11:19:44 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl\xml\constants.py","constants.py","4833","7/5/2025 6:48:38 PM","7/5/2025 6:48:38 PM","7/9/2025 11:19:44 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl\xml\functions.py","functions.py","2025","7/5/2025 6:48:38 PM","7/5/2025 6:48:38 PM","7/9/2025 11:19:44 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl\xml\__pycache__\__init__.cpython-313.pyc","__init__.cpython-313.pyc","1558","7/5/2025 6:48:43 PM","7/5/2025 6:48:43 PM","7/9/2025 11:19:44 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl\xml\__pycache__\constants.cpython-313.pyc","constants.cpython-313.pyc","5096","7/5/2025 6:48:43 PM","7/5/2025 6:48:43 PM","7/9/2025 11:19:44 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl\xml\__pycache__\functions.cpython-313.pyc","functions.cpython-313.pyc","2528","7/5/2025 6:48:43 PM","7/5/2025 6:48:43 PM","7/9/2025 11:19:44 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl\__pycache__\__init__.cpython-313.pyc","__init__.cpython-313.pyc","784","7/5/2025 6:48:38 PM","7/5/2025 6:48:38 PM","7/9/2025 11:19:44 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl\__pycache__\_constants.cpython-313.pyc","_constants.cpython-313.pyc","488","7/5/2025 6:48:38 PM","7/5/2025 6:48:38 PM","7/9/2025 11:19:44 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl-3.1.5.dist-info\INSTALLER","INSTALLER","4","7/5/2025 6:48:43 PM","7/5/2025 6:48:43 PM","7/9/2025 11:19:44 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl-3.1.5.dist-info\LICENCE.rst","LICENCE.rst","1131","7/5/2025 6:48:38 PM","7/5/2025 6:48:38 PM","7/9/2025 11:19:44 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl-3.1.5.dist-info\METADATA","METADATA","2510","7/5/2025 6:48:38 PM","7/5/2025 6:48:38 PM","7/9/2025 11:19:44 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl-3.1.5.dist-info\RECORD","RECORD","27747","7/5/2025 6:48:43 PM","7/5/2025 6:48:43 PM","7/9/2025 11:19:44 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl-3.1.5.dist-info\REQUESTED","REQUESTED","0","7/5/2025 6:48:43 PM","7/5/2025 6:48:43 PM","7/9/2025 11:19:44 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl-3.1.5.dist-info\top_level.txt","top_level.txt","9","7/5/2025 6:48:38 PM","7/5/2025 6:48:38 PM","7/9/2025 11:19:44 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\openpyxl-3.1.5.dist-info\WHEEL","WHEEL","110","7/5/2025 6:48:38 PM","7/5/2025 6:48:38 PM","7/9/2025 11:19:44 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\__pycache__","__pycache__",,"7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\licenses","licenses",,"7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\__init__.py","__init__.py","494","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:44 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\_elffile.py","_elffile.py","3286","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:44 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\_manylinux.py","_manylinux.py","9596","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:44 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\_musllinux.py","_musllinux.py","2694","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:44 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\_parser.py","_parser.py","10221","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:44 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\_structures.py","_structures.py","1431","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:44 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\_tokenizer.py","_tokenizer.py","5310","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:45 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\markers.py","markers.py","12049","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:45 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\metadata.py","metadata.py","34739","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:45 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\py.typed","py.typed","0","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:45 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\requirements.py","requirements.py","2947","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:45 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\specifiers.py","specifiers.py","40055","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:45 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\tags.py","tags.py","22745","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:45 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\utils.py","utils.py","5050","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:45 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\version.py","version.py","16676","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:45 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\licenses\__pycache__","__pycache__",,"7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\licenses\__init__.py","__init__.py","5715","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:45 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\licenses\_spdx.py","_spdx.py","48398","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:45 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\licenses\__pycache__\__init__.cpython-313.pyc","__init__.cpython-313.pyc","4261","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:45 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\licenses\__pycache__\_spdx.cpython-313.pyc","_spdx.cpython-313.pyc","47402","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:45 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\__pycache__\__init__.cpython-313.pyc","__init__.cpython-313.pyc","520","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:45 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\__pycache__\_elffile.cpython-313.pyc","_elffile.cpython-313.pyc","5179","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:45 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\__pycache__\_manylinux.cpython-313.pyc","_manylinux.cpython-313.pyc","9966","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:45 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\__pycache__\_musllinux.cpython-313.pyc","_musllinux.cpython-313.pyc","4585","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:45 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\__pycache__\_parser.cpython-313.pyc","_parser.cpython-313.pyc","14149","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:45 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\__pycache__\_structures.cpython-313.pyc","_structures.cpython-313.pyc","3315","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:45 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\__pycache__\_tokenizer.cpython-313.pyc","_tokenizer.cpython-313.pyc","8072","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:45 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\__pycache__\markers.cpython-313.pyc","markers.cpython-313.pyc","13062","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:45 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\__pycache__\metadata.cpython-313.pyc","metadata.cpython-313.pyc","27331","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:46 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\__pycache__\requirements.cpython-313.pyc","requirements.cpython-313.pyc","4596","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:46 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\__pycache__\specifiers.cpython-313.pyc","specifiers.cpython-313.pyc","37604","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:46 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\__pycache__\tags.cpython-313.pyc","tags.cpython-313.pyc","24936","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:46 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\__pycache__\utils.cpython-313.pyc","utils.cpython-313.pyc","6720","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:46 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging\__pycache__\version.cpython-313.pyc","version.cpython-313.pyc","19933","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:46 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging-25.0.dist-info\licenses","licenses",,"7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging-25.0.dist-info\INSTALLER","INSTALLER","4","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:46 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging-25.0.dist-info\METADATA","METADATA","3281","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:46 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging-25.0.dist-info\RECORD","RECORD","2792","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:46 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging-25.0.dist-info\WHEEL","WHEEL","82","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:46 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging-25.0.dist-info\licenses\LICENSE","LICENSE","197","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:46 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging-25.0.dist-info\licenses\LICENSE.APACHE","LICENSE.APACHE","10174","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:46 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\packaging-25.0.dist-info\licenses\LICENSE.BSD","LICENSE.BSD","1344","7/5/2025 6:23:31 PM","7/5/2025 6:23:31 PM","7/9/2025 11:19:46 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\__pycache__","__pycache__",,"7/5/2025 6:24:06 PM","7/5/2025 6:24:17 PM","7/9/2025 11:55:37 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\_config","_config",,"7/5/2025 6:24:06 PM","7/5/2025 6:24:06 PM","7/9/2025 11:55:37 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\_libs","_libs",,"7/5/2025 6:24:06 PM","7/5/2025 6:24:07 PM","7/9/2025 11:55:37 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\_testing","_testing",,"7/5/2025 6:24:06 PM","7/5/2025 6:24:07 PM","7/9/2025 11:55:37 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\api","api",,"7/5/2025 6:24:03 PM","7/5/2025 6:24:07 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\arrays","arrays",,"7/5/2025 6:24:03 PM","7/5/2025 6:24:07 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\compat","compat",,"7/5/2025 6:24:03 PM","7/5/2025 6:24:07 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\core","core",,"7/5/2025 6:24:03 PM","7/5/2025 6:24:08 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\errors","errors",,"7/5/2025 6:24:04 PM","7/5/2025 6:24:15 PM","7/9/2025 11:55:34 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\io","io",,"7/5/2025 6:24:04 PM","7/5/2025 6:24:15 PM","7/9/2025 11:55:34 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\plotting","plotting",,"7/5/2025 6:24:04 PM","7/5/2025 6:24:17 PM","7/9/2025 11:55:34 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\tests","tests",,"7/5/2025 6:24:04 PM","7/5/2025 6:24:17 PM","7/9/2025 11:55:34 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\tseries","tseries",,"7/5/2025 6:24:06 PM","7/5/2025 6:24:48 PM","7/9/2025 11:55:37 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\util","util",,"7/5/2025 6:24:06 PM","7/5/2025 6:24:48 PM","7/9/2025 11:55:37 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\__init__.py","__init__.py","8969","7/5/2025 6:24:03 PM","7/5/2025 6:24:03 PM","7/9/2025 11:19:47 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\_typing.py","_typing.py","14037","7/5/2025 6:24:03 PM","7/5/2025 6:24:03 PM","7/9/2025 11:19:47 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\_version_meson.py","_version_meson.py","79","7/5/2025 6:24:03 PM","7/5/2025 6:24:03 PM","7/9/2025 11:19:47 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\_version.py","_version.py","23677","7/5/2025 6:24:03 PM","7/5/2025 6:24:03 PM","7/9/2025 11:19:47 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\conftest.py","conftest.py","51045","7/5/2025 6:24:03 PM","7/5/2025 6:24:03 PM","7/9/2025 11:19:47 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\pyproject.toml","pyproject.toml","24595","7/5/2025 6:24:03 PM","7/5/2025 6:24:03 PM","7/9/2025 11:19:47 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\testing.py","testing.py","313","7/5/2025 6:24:03 PM","7/5/2025 6:24:03 PM","7/9/2025 11:19:47 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\api\__pycache__","__pycache__",,"7/5/2025 6:24:07 PM","7/5/2025 6:24:07 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\api\extensions","extensions",,"7/5/2025 6:24:03 PM","7/5/2025 6:24:07 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\api\indexers","indexers",,"7/5/2025 6:24:03 PM","7/5/2025 6:24:07 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\api\interchange","interchange",,"7/5/2025 6:24:03 PM","7/5/2025 6:24:07 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\api\types","types",,"7/5/2025 6:24:03 PM","7/5/2025 6:24:07 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\api\typing","typing",,"7/5/2025 6:24:03 PM","7/5/2025 6:24:07 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\api\__init__.py","__init__.py","219","7/5/2025 6:24:03 PM","7/5/2025 6:24:03 PM","7/9/2025 11:19:47 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\api\extensions\__pycache__","__pycache__",,"7/5/2025 6:24:07 PM","7/5/2025 6:24:07 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\api\extensions\__init__.py","__init__.py","685","7/5/2025 6:24:03 PM","7/5/2025 6:24:03 PM","7/9/2025 11:19:47 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\api\extensions\__pycache__\__init__.cpython-313.pyc","__init__.cpython-313.pyc","753","7/5/2025 6:24:07 PM","7/5/2025 6:24:07 PM","7/9/2025 11:19:47 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\api\indexers\__pycache__","__pycache__",,"7/5/2025 6:24:07 PM","7/5/2025 6:24:07 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\api\indexers\__init__.py","__init__.py","357","7/5/2025 6:24:03 PM","7/5/2025 6:24:03 PM","7/9/2025 11:19:47 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\api\indexers\__pycache__\__init__.cpython-313.pyc","__init__.cpython-313.pyc","487","7/5/2025 6:24:07 PM","7/5/2025 6:24:07 PM","7/9/2025 11:19:47 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\api\interchange\__pycache__","__pycache__",,"7/5/2025 6:24:07 PM","7/5/2025 6:24:07 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\api\interchange\__init__.py","__init__.py","230","7/5/2025 6:24:03 PM","7/5/2025 6:24:03 PM","7/9/2025 11:19:47 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\api\interchange\__pycache__\__init__.cpython-313.pyc","__init__.cpython-313.pyc","433","7/5/2025 6:24:07 PM","7/5/2025 6:24:07 PM","7/9/2025 11:19:48 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\api\types\__pycache__","__pycache__",,"7/5/2025 6:24:07 PM","7/5/2025 6:24:07 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\api\types\__init__.py","__init__.py","447","7/5/2025 6:24:03 PM","7/5/2025 6:24:03 PM","7/9/2025 11:19:48 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\api\types\__pycache__\__init__.cpython-313.pyc","__init__.cpython-313.pyc","573","7/5/2025 6:24:07 PM","7/5/2025 6:24:07 PM","7/9/2025 11:19:48 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\api\typing\__pycache__","__pycache__",,"7/5/2025 6:24:07 PM","7/5/2025 6:24:07 PM","7/9/2025 11:55:33 PM","Directory","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\api\typing\__init__.py","__init__.py","1244","7/5/2025 6:24:03 PM","7/5/2025 6:24:03 PM","7/9/2025 11:19:48 PM","Archive","BUILTIN\Administrators"
"D:\DoganHub\DBA\.venv\Lib\site-packages\pandas\api\typing\__pycache__\__init__.cpython-313.pyc","__init__.cpython-313.pyc","1104","7/5/2025 6:24:07 PM","7/5/2025 6:24:07 PM","7/9/2025 11:19:48 PM","Archive","BUILTIN\Administrators"
